Region.ChiRegion,Region.EngRegion,District.ChiDistrict,District.EngDistrict,Street.ChiStreetName,Street.EngStreetName,Street.StreetNoFrom,Street.StreetNoTo,Estate.ChiEstateName,Estate.EngEstateName,Estate.ChiPhaseName,Estate.EngPhaseName,Estate.PhaseNo,Block.BlockNo,Block.ChiBlockDescriptor,Block.EngBlockDescriptor,Building.ChiBuildingName,Building.EngBuildingName,GeoAddress
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,威靈頓街,WELLINGTON STREET,51,,,,,,,,,,,,3401015963T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,威靈頓街,WELLINGTON STREET,32,40,,,,,,,,,鏞記大廈,YUNG KEE BUILDING,3407615849T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,威靈頓街,WELLINGTON STREET,62,,,,,,,,,,威蘭樓,WELLAND HSE,3403315910T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,德輔道中,DES VOEUX ROAD CENTRAL,10,,,,,,,,,,東亞銀行大廈,THE BANK OF EAST ASIA BUILDING,3436415795T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,雲咸街,WYNDHAM STREET,67,,,,,,,,,,立健商業大廈,VOGUE BUILDING,3400715855T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,九如坊,KAU U FONG,3,,,,,,,,,,中區街坊福利會,CENTRAL DISTRICT KAI-FONG WELFARE ASSOCIATION,3380916145P20051208
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,荷李活道,HOLLYWOOD ROAD,108,,聚賢居,CENTRESTAGE,,,,,,,,,3358816105P20060713
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,皇后大道中,QUEEN'S ROAD CENTRAL,31,,,,,,,,,,陸海通大廈,LHT TOWER,3418315918T20110429
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,德輔道西,DES VOEUX ROAD WEST,192,,,,,,,,,,梅芳大廈,MUI FONG APARTMENTS,3280116541T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,皇后大道西,QUEEN'S ROAD WEST,488,,,,,,,,,,新安大樓,SUN ON BUILDING,3199616326P20060312
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,吉席街,CATCHICK STREET,30,,,,,,,,,,順興大廈,SHUN HING BUILDING,3125016036P20050622
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,德輔道西,DES VOEUX ROAD WEST,346,,,,,,,,,,恒裕大廈,HANG YUE BUILDING,3227116470T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,第二街,SECOND STREET,125B,,,,,,,,,,,,3244716379T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,科士街,FORBES STREET,54,,,,,,,,,,先施西環大廈,SINCERE WESTERN HSE,3106515835T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,厚和街,HAU WO STREET,43,,,,,,,,,,,,3113315993T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,厚和街,HAU WO STREET,39,45,,,,,,,,,,,3113315993T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,德輔道西,DES VOEUX ROAD WEST,406C,,,,,,,,,,,,3208616415T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,第二街,SECOND STREET,6,8,,,,,,,,,德明樓,TAK MING LAU,3279616353T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,第二街,SECOND STREET,32,,,,,,,,,,,,3273916355T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,爹核士街,DAVIS STREET,3,,,,,,,,,,厚和樓,HAU WO BUILDING,3111715976T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,第一街,FIRST STREET,35,,,,,,,,,,安樂樓,ON LOK MANSION,3276116413T20140908
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,第一街,FIRST STREET,77,,,,,,,,,,,,3266616411T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,羲皇臺,HEE WONG TERRACE,1,,羲皇臺,HEE WONG TERRACE,,,,6,座,BLK,,,3159316011T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,德輔道中,DES VOEUX ROAD CENTRAL,188,,,,,,,,,,,,3385216346T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,麥當勞道,MACDONNELL ROAD,16,18,,,,,,,,,,,3416515195T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,麥當勞道,MACDONNELL ROAD,96,,,,,,,,,,,,3462715152T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,嘉咸街,GRAHAM STREET,26C,,,,,,,,,,,,3387716020T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,般咸道,BONHAM ROAD,35,,,,,,,,,,,,3267316195T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,羅便臣道,ROBINSON ROAD,27F,,,,,,,,,,,,3369115585T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,賓吉道,PLUNKETT'S ROAD,32,,,,,,,,,,,,3363214501T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,白加道,BARKER ROAD,11,,三軍司令官邸,HEADQUARTERS HOUSE,,,,,,,三軍司令官邸,HEADQUARTERS HOUSE,3461314656T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,摩羅廟街,MOSQUE STREET,23,27,嘉怡閣,KA YEE COURT,,,,,,,,,3365715684T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,愛丁堡廣場,EDINBURGH PLACE,5,7,,,,,,,,,大會堂,,3461315919T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,醫院道,HOSPITAL ROAD,21,,西營盤電站（西座）,SAI YING PUN STATION BUILDING (WEST BLOCK),,,,,,,西營盤電站（西座）,SAI YING PUN STATION BUILDING,3303116318T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,荷李活道,HOLLYWOOD ROAD,32,,,,,,,,,,,,3383615917T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,白加道,BARKER ROAD,17,,,,,,,,,,,,3439014616T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,紅棉路,COTTON TREE DRIVE,10,,羅桂祥茶藝館,THE K.S.LO GALLERY,,,,,,,,,3480315445T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,吉席街,CATCHICK STREET,95,,,,,,,,,,,,3111716033T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,薄扶林道,POK FU LAM ROAD,84,,富林苑,FULHAM GARDEN,,,,,,,,,3159615626T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,正義道,JUSTICE DRIVE,14,,御花園,REGENT ON THE PARK,,,,,,,,BRITISH TRADE COMMISSION,3493615230T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,高街,HIGH STREET,2,,,,,,,,,,,,3288816216T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,青蓮臺,CHING LIN TERRACE,15,,魯班先師廟,,,,,,,,魯班先師廟,LO PAN TEMPLE,3163416017T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,加多近街,CADOGAN STREET,45,55,,,,,,,,,,,3106415880T20050617
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,卑路乍街,BELCHER'S STREET,144,148,,,,,,,,,,,3110015926T20050617
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,列堤頓道,LYTTELTON ROAD,28,34,,,,,,,,,,,3270216076T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,荷李活道,HOLLYWOOD ROAD,109,,聖公會基恩小學,S.K.H. KEI YAN PRIMARY SCHOOL,,,,,,,,,3367916124T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,柯士甸山道,MOUNT AUSTIN ROAD,40,,,,,,,,,,,C & W STAFF QUARTERS,3280615080T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,利源西街,LI YUEN STREET WEST,5,,,,,,,,,,,,3412016006T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,加列山道,MOUNT KELLETT ROAD,51G,,,,,,,,,,,,3318913597T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,士丹頓街,STAUNTON STREET,62,,,,,,,,,,,,3366916007T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,羅便臣道,ROBINSON ROAD,105,,翡翠園,JADE GARDEN,,,,,,,翡翠園Ｅ－Ｆ座,JADE GARDEN BLOCK E-F,3301215997T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,爹核士街,DAVIS STREET,1D,,,,,,,,,,,,3110216053T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,永利街,WING LEE STREET,2,,,,,,,,,,,,3358316036T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,加列山道,MOUNT KELLETT ROAD,53,,,,,,,,,,,,3321413555T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,麥當勞道,MACDONNELL ROAD,6,8,,,,,,,,,,,3409015212T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,德輔道西,DES VOEUX ROAD WEST,294,,,,,,,,,,,,3240716496T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,麥當勞道,MACDONNELL ROAD,11,,,,,,,,,,,,3419015238T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,麥當勞道,MACDONNELL ROAD,110,112,,,,,,,,,,,3471015120T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,愛丁堡廣場,EDINBURGH PLACE,1,,,,,,,,,,大會堂停車場,CITY HALL CAR PARK,3475215898T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,舊山頂道,OLD PEAK ROAD,3,,錦園大廈,KAM YUEN MANSION,,,,,,,,,3388015291T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,干德道,CONDUIT ROAD,68,,,,,,,,,,,,3284615859T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,馬己仙峽道,MAGAZINE GAP ROAD,1,3A,嘉慧園,GRENVILLE HOUSE,,,,,,,,,3424515057T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,高街,HIGH STREET,119,,李陞小學,LI SING PRIMARY SCHOOL,,,,,,,李陞小學,LI SING PRIMARY SCHOOL,3243716268T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,水街,WATER STREET,6A,6B,,,,,,,,,,,3238416360T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,山頂道,PEAK ROAD,100,,,,,,,,,,牛奶公司山頂壹佰商場,DAIRY FARM 100 THE PEAK SHOPPING CENTRE,3365514419T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,堅道,CAINE ROAD,15,,,,,,,,,,,,3394215674T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,士美菲路,SMITHFIELD,14,,,,,,,,,,,,3138415685T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,白加道,BARKER ROAD,31,,白加道３１號,31 BARKER ROAD,,,,,,,白加道３１號Ｂ號屋,31 BARKER ROAD HOUSE B,3406614675T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,桃李臺,TO LI TERRACE,15,19,桃李園,TO LI GARDEN,,,,,,,,,3165015989T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,白加道,BARKER ROAD,31,,白加道３１號,31 BARKER ROAD,,,,,,,白加道３１號Ｃ號屋,31 BARKER ROAD HOUSE C,3407814675T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,卑利街,PEEL STREET,56,60,,,,,,,,,,,3373415929T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,雷丹彌徑,LLOYD PATH,6,,,,,,,,,,,,3470014652T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,羅便臣道,ROBINSON ROAD,80,,倫敦樓,LONDON MISSION,,,,,,,倫敦樓,LONDON MISSION,3316715984T20050430
